CASEID,A27COMMS,NOTES,A1CURFOR,CURRENT,FORMER,A2GENDER,A3AGEGP,A4CBIRTH,A5AETHN1,A5AETHN2,AMERIND,ASIAN,BLACK,HISPANIC,HAWAIIPI,WHITE,OTHER,A6QUALS1,A6QUALS2,A6QUALS3,A6QUALS4,NOFORMAL,DCDANCSC,DCPERFSC,BACHDEGR,ADDCDNCS,ADDCPERF,GRADUATE,FQOTHER,A7GENED,A8ABEGTR,A8BFENGA,A8CBGPCR,A8DFINC,A9OCED1,A9OCED2,A9OCED3,A9OCED4,A9OCED5,A9OCED6,A9OCED7,A9OCED8,ARTISDIR,CHOREOGR,CLBALLET,CLDANCER,CONTMODN,COMMDANC,DANTEACH,INDIGDAN,MUSTHCAB,TRADFOLK,OTHRDANC,OTHRART,A9BMIINC,A9CMISAT,C10PCCR,C10PCDT,C10PCAR,C10PCOW,C10PCUN,C10PCOT,C10T100,F10AEY1,F10AEY2,F10AEY3,F10AEY4,F10AEY5,F10AEY6,EYFTDANC,EYPTDANC,EYFTDNRL,EYPTDNRL,EYFTNOND,EYPTNOND,EYSTUDY,C11HRSAB,C11HRSCD,C11HRSEF,C11HRSGH,C11ABRC,C11CDRC,C11EFRC,C11GHRC,C12STPCR,C12SCRC,C13STOP1,C13STOP2,C13STOP3,C13STOP4,C13STOP5,C13OTHER,WSTOOOLD,WSFINANC,WSHEALTH,WSWKNOTA,WSNEWCRR,WSCNTREX,WSOTHER,WSDONTKN,WSFAMILY,WSNOTENJ,F10BFY1,F10BFY2,F10BFY3,F10BFY4,F10BFY5,F10BFY6,F10BFY7,FYFTDANC,FYPTDANC,FYFTDNRL,FYPTDNRL,FYFTNOND,FYPTNOND,FYSTUDY,F10CTML1,F10CTML2,F10CTML3,F10CTML4,F10CTML5,F10CTML6,TWMLFTDN,TWMLPTDN,TWMLFTDR,TWMLPTDR,TWMLFTND,TWMLPTND,TWMLSTDY,F10DNOW1,F10DNOW2,F10DNOW3,F10DNOW4,F10DNOW5,NWFTDANC,NWPTDANC,NWFTDNRL,NWPTDNRL,NWFTNOND,NWPTNOND,NWSTUDY,F11ACOCC,OCC1CODE,F11BHRSA,HPWRCOCA,F11CCOCC,OCC2CODE,F11DHRSC,HPWOCC,F11ECOCC,OCC3CODE,F11FHRSE,HPWRCOCE,DNCRLOC,ARTRLOC,HLTHRLOC,NONARLOC,PARNTOC,STUDNTOC,RETIRED,NUMOCCS,HRSOCCS,HPWALLOC,OCCAMC,OCCCMA,OCCAEC,OCCACZRO,F12AEXFN,F12ESRC,F12BFNCR,F12DSRC,F12CTMEL,F13STOP1,F13STOP2,F13STOP3,F13STOP4,F13STOP5,F13OTHER,DSTOOOLD,DSFINANC,DSHEALTH,DSWKNTAV,DSCNTREX,DSNEWCRR,DSOTHER,DSDNTKN,DSFAMILY,DSNOTENJ,A24UNAWR,A24NPREP,A24MRHLP,A24NOHLP,A24INTRG,A24FEAR,A24SKILL,A25AQL1,A25AQL2,A25AQL3,A25AQL4,A25AQL5,A25AQL6,A25AQL7,A25AQL8,A25AQL9,A25AQL10,A25OTHER,SKCOMMUN,SKCOMPET,SKCOOP,SKINITIV,SKLEADSH,SKPRESEN,SKSELFCF,SKSELFDC,SKSTAMIN,SKOTHER,A25BMIMP,C14ACHAL,C14BAW1,C14BAW2,AWALWAYS,AWEDUPGM,AWINJURY,AWBETDNE,AWOTHER,C14CAGE,C14AWRC,C14DACT,C14ACRC,C15CHAF1,C15CHAF2,C15CHAF3,C15CHAF4,C15CHAF5,C15CHAF6,C15CHAF7,C15CHAF8,C15OTHER,CDCHPHYS,CDCHLST,CDCHLINC,CDCHLFS,CDCHEMOT,CDCHDEC,CDCHEMPT,CDCHOTH,CDCHDK,C15BMSCH,C15BOTHR,C16AWMPF,C16BWWD1,C16BWWD2,C16BWWD3,C16BWWD4,C16BWWD5,C16BWWD6,C16BWWD7,CDWKCHOR,CDWKDOM,CDWKEDU,CDWKDRL,CDWKARL,CDWKNONA,CDWKTDNC,CDWKOTHR,CDWKDK,C17AFEDU,C17BFIN1,C17BFIN2,C17BFIN3,C17BFIN4,C17BFIN5,CDLOANS,CDSCHLS,CDCOUNN,CDYOU,CDFMFR,CDOTHER,CDDK,C18FINAS,C18EMPSP,C18ADINF,C18EDUTR,C19DNCCO,C19UNION,C19DORG,C19AORG,C19GOVB,C19FAMF,C21APROG,C21BDETS,C21CUSE1,F21APROG,C22PREPR,C20INCCH,C23COMMG,C23ARTDI,C23FLDNC,C23PTSP,C23FAMLY,C23FRNDS,C23OTHRK,C23OTHER,F14ACHAL,F14BAW1,F14BAW2,F14BAW3,FDAWALWY,FDAWEDU,FDAWINJY,FDAWBDNE,FDAWOTHR,F14CAGE,F14AWRC,F14DACT,F14ACRC,F15CHAF1,F15CHAF2,F15CHAF3,F15CHAF4,F15CHAF5,F15CHAF6,F15CHAF7,F15CHAF8,F15OTHER,FDCHPHYS,FDCHLST,FDCHLINC,FDCHLFS,FDCHEMOT,FDCHDEC,FDCHEMPT,FDCHOTHR,FDCHDK,F15BMSCH,F15BOTHR,F16AWMPF,F16BWAD1,F16BWAD2,F16BWAD3,F16BWAD4,F16BWAD5,F16BWAD6,F16BWAD7,FDWKCHOR,FDWKDOM,FDWKEDU,FDWKDRL,FDWKARL,FDWKNONA,FDWKTDNC,FDWKOTHR,FDWKDK,F17AFEDU,F17BTIME,F17CWH1,F17CWH2,F17CWH3,F17CWH4,FDWHCOLU,FDWHSERV,FDWHTRDE,FDWHPRIV,FDWHOTH,F17DFIN1,F17DFIN2,F17DFIN3,F17DFIN4,F17DFIN5,F17DFIN6,FDFNLNS,FDFNSCH,FDFNCOUN,FDFNYOU,FDFNPFF,FDFNOTH,F17ECOST,F17FESTG,F18FINAS,F18EMPSP,F18ADINF,F18EDUTR,F19DNCCO,F19UNION,F19DORG,F19AORG,F19GOVB,F19FAMF,F20ATML,F20BNOW,F21BDETS,F21CUSE1,F22PREPR,F23COMMG,F23ARTDI,F23FLDNC,F23PTSP,F23FAMLY,F23FRNDS,F23OTHRK,F23OTHER,F23BSAT,C261ACWK,C261BEXP,C261CDRL,C261DARL,C261ENNA,C261FUNM,C261GGOV,C262AHI,C262BLW,F261ADRL,F261BOAR,F261CNNA,F261DUNM,F261EGOV,F262AERN,F262BEXP,F262CEOS,F263AHI,F263BLW
54,1,"Q9b., 9c., Invalid due to multiple response.",2,D,1,1,10,Masked,6,D,0,0,0,0,0,1,0,4,8,D,D,0,0,0,1,0,0,0,1,4,  9, 18, 18, 18, 1, 2, 3, 6, 7, 9,10,12,1,1,1,0,0,1,1,0,1,1,0,1, D, D,  D,  D,  D,  D,  D,  D,  0,1,7,D,D,D,D,1,0,0,0,0,0,1,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,2,3,7,D,D,D,D,0,1,1,0,0,0,1,3,D,D,D,D,D,0,0,1,0,0,0,0,3,4,D,D,D,0,0,1,1,0,0,0,Masked, 1,30,3, , D,0,0, ,D,0,0,1,0,0,0,0,0,0,1, 30,3,1,0,0,0,  D, D, 30, 6,5, 7, D, D, D, D, ,0,0,0,0,0,0,1,0,0,0,1,2,1,5,2,6,2, 4, 5, 6, 7, 8, 9, D, D, D, D, ,0,0,0,1,1,1,1,1,1,0, 8,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,2,D,D,D,D,D,D,D,D,D, ,4,D,D,D,0,0,0,0,0,  D, D,  D, D,7,D,D,D,D,D,D,D, ,0,0,0,0,0,0,1,0,0,7, ,7,1,2,3,4,5,7,D,1,1,1,1,1,0,1,0,0,3,4,1,5,D,D,1,0,0,0,1,3,6,D,D,D,D,0,0,1,0,0,1,    5000,1,1,1,1,1,4,1,4,4,4,2,4,1, ,D,4,4,4,4,1,3,1,D, ,1,       D,D,       D,       D,       D,       D,       D,       D,       D,   27000,       D,       D,       D,       D,    7000,2,    1000,       D,       D
55,1,"for Q17e., only entered 16,000 but respondent indicated that it was per year… and that education wou",2,D,1,2,5,Masked,3,D,0,0,1,0,0,0,0,4,D,D,D,0,0,0,1,0,0,0,0,5, 12, 19, 20, 20, 2, 3, 5, 7, D, D, D, D,0,1,1,0,1,0,1,0,0,0,0,0, 3, 3,  D,  D,  D,  D,  D,  D,  0,1,D,D,D,D,D,1,0,0,0,0,0,0,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,D,D,D,D,D,D,1,0,0,0,0,0,0,4,5,D,D,D,D,0,0,0,1,1,0,0,5,D,D,D,D,0,0,0,0,1,0,0,Masked, 4,40,4,Masked, 1,2,1, ,D,0,0,1,0,0,1,0,0,0,2, 42,5,1,0,0,0, 35, 8, 30, 6,1, 3, D, D, D, D, ,0,0,1,0,0,0,0,0,0,0,3,2,2,4,3,1,2, 1, 2, 3, 4, 5, 6, 7, 8, 9, D, ,1,1,1,1,1,1,1,1,1,0, D,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,2,D,D,D,D,D,D,D,D,D, ,2,3,D,D,0,0,1,0,0, 27, 5, 30, 6,1,6,D,D,D,D,D,D, ,1,0,0,0,0,1,0,0,0,1, ,3,1,3,6,7,D,D,D,1,0,1,0,0,1,1,0,0,2,2,1,D,D,D,1,0,0,0,0,4,D,D,D,D,D,0,0,0,1,0,0,   16000,2,2,1,2,2,4,4,3,3,4,1,3,1, ,D,2,2,2,1,4,1,1,D, ,1,       D,D,       D,       D,       D,       D,       D,       D,       D,    1000,       0,   34000,       0,       0,   28000,3,    3400,   28000,   24000
56,1, ,1,1,D,1,4,Masked,6,D,0,0,0,0,0,1,0,2,4,D,D,0,1,0,1,0,0,0,0,4,  7, 21, 21, 21, 2, 5, 6, 7, 9, D, D, D,0,1,0,0,1,1,1,0,1,0,0,0, 9, 9, 60, 40,  D,  D,  D,  D,100,D,D,D,D,D,D,D,D,D,D,D,D,D, 25,  D,  D,  D,3,0,0,0, 40,10, 5, 9, D, D, D,Daughter beginning school  RC9,0,0,0,0,1,0,1,0,1,0,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, , D,0,D, , D,0,D, ,D,0,D,D,D,D,D,D,D,D,D,  D,D,D,D,1,1,  D, D,  D, D,D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,2,3,3,2,2,1, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,Ability to think in ones feet and quickly make changes,1,1,1,1,1,1,1,1,1,1, 1,1,1,D,1,0,0,0,0, 21, 3, 30, 6,1,2,3,6,7,D,D,D, ,1,1,1,0,0,1,1,0,0,3, ,1,1,6,7,D,D,D,D,1,0,0,0,0,1,1,0,0,1,1,2,4,D,D,1,1,0,1,0,0,0,1,1,1,1,D,1,1,1,2,2,1,Masked,1,D,2,4,4,3,2,2,1,1,D, ,D,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,       D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D, ,D,   11000,4,    5000,       D,       D,       D,       D,   55000,    5000,       D,       D,       D,       D,       D,       D,D,       D,       D,       D
57,D,Portions of 23a Invalid due to multiple response.,2,D,1,1,6,Masked,6,D,0,0,0,0,0,1,0,1,D,D,D,1,0,0,0,0,0,0,0,3,  8, 18, 18, 18, 2, 3, 5, 7, D, D, D, D,0,1,1,0,1,0,1,0,0,0,0,0, 3, 3,  D,  D,  D,  D,  D,  D,  0,D,D,D,D,D,D,0,0,0,0,0,0,0,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,D,D,D,D,D,D,1,0,0,0,0,0,0,4,D,D,D,D,D,0,0,0,1,0,0,0,6,D,D,D,D,0,0,0,0,0,1,0,Masked, 3,6,1, , D,0,0, ,D,0,0,0,0,1,0,0,0,0,1,  6,1,1,0,0,0,  D, D, 31, 7,1, 4, 6,10, D, D,didn't enjoy it anymore  RC10,0,0,0,1,1,0,1,0,0,1,3,2,3,3,D,1,1, 3, 4, 6, 7, 8, 9, D, D, D, D, ,0,0,1,1,0,1,1,1,1,0, 8,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,2,D,D,D,D,D,D,D,D,D, ,2,1,D,D,1,0,0,0,0, 22, 3, 30, 6,1,6,D,D,D,D,D,D, ,1,0,0,0,0,1,0,0,0,9, ,6,2,6,7,D,D,D,D,0,1,0,0,0,1,1,0,0,3,2,5,D,D,D,0,0,0,0,1,4,6,D,D,D,D,0,0,0,1,0,1,    5000,2,1,1,2,1,3,1,D,D,D,2,2,2, ,D,1,3,3,2,1,4,D,D, ,1,       D,D,       D,       D,       D,       D,       D,       D,       D,    2000,       D,    2000,       0,       0,       D,D,       D,       D,       D
58,1, ,2,D,1,1,5,Masked,6,D,0,0,0,0,0,1,0,4,D,D,D,0,0,0,1,0,0,0,0,4,  4, 15, 21, 16, 3, 5, 6, 7, 9, D, D, D,0,0,1,0,1,1,1,0,1,0,0,0, 9, 5,  D,  D,  D,  D,  D,  D,  0,2,6,7,D,D,D,0,1,0,0,0,1,1,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,D,D,D,D,D,D,1,0,0,0,0,0,0,6,D,D,D,D,D,0,0,0,0,0,1,0,6,D,D,D,D,0,0,0,0,0,1,0,Masked, 5,0,0,Masked, 3,5,1,Masked,3,1,1,0,0,2,0,1,0,0,3,  6,1,0,1,0,0, 35, 8, 31, 7,5, 2, 9, D, D, D,lack of appropriate child care  RC9,0,1,0,0,0,0,1,0,1,0,2,2,2,5,2,6,2, 3, 4, 6, 7, 8, 9,10, D, D, D,the self confidence needed to survive in such a demanding profession,0,0,1,1,0,1,1,1,1,1, 8,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,2,D,D,D,D,D,D,D,D,D, ,2,1,3,4,1,0,1,1,0, 17, 1, 26, 5,1,2,3,4,5,7,D,D, ,1,1,1,1,1,0,1,0,0,4, ,6,2,3,6,D,D,D,D,0,1,1,0,0,1,0,0,0,2,5,4,D,D,D,0,0,0,1,0,4,5,D,D,D,D,0,0,0,1,1,0,       D,3,4,1,2,1,4,4,4,4,4,1,2,2, ,D,2,4,4,3,1,1,1,D, ,1,       D,D,       D,       D,       D,       D,       D,       D,       D,       0,       0,    4500,       0,       0,    5000,D,    8000,   75000,    5000
59,1,Q25b. Invalid due to multiple response.,2,D,1,1,6,Masked,3,D,0,0,1,0,0,0,0,3,D,D,D,0,0,1,0,0,0,0,0,4, 13, 22, 24, 22, 2, 6, 7, 9,12, D, D, D,0,1,0,0,0,1,1,0,1,0,0,1, 9, 9,  D,  D,  D,  D,  D,  D,  0,1,D,D,D,D,D,1,0,0,0,0,0,0,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,2,D,D,D,D,D,D,0,1,0,0,0,0,0,5,D,D,D,D,D,0,0,0,0,1,0,0,5,D,D,D,D,0,0,0,0,1,0,0,Masked, 2,40,4, , D,0,0, ,D,0,0,0,1,0,0,0,0,0,1, 40,4,1,0,0,0,  D, D, 34, 7,1, 1, 5, D, D, D, ,1,0,0,0,0,1,0,0,0,0,4,2,2,4,2,2,1, 3, D, D, D, D, D, D, D, D, D, ,0,0,1,0,0,0,0,0,0,0, D,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,2,D,D,D,D,D,D,D,D,D, ,1,1,D,D,1,0,0,0,0, 30, 6, 30, 6,1,D,D,D,D,D,D,D, ,1,0,0,0,0,0,0,0,0,3, ,5,5,D,D,D,D,D,D,0,0,0,0,1,0,0,0,0,2,5,3,4,D,D,0,0,1,1,0,4,D,D,D,D,D,0,0,0,1,0,0,       D,1,4,1,1,2,4,4,4,4,4,2,2,1, ,D,2,4,4,1,1,1,1,D, ,1,       D,D,       D,       D,       D,       D,       D,       D,       D,       0,  150000,       0,       0,       0,   64000,3,       0,   70000,   12000
60,2, ,2,D,1,2,6,Masked,6,D,0,0,0,0,0,1,0,4,D,D,D,0,0,0,1,0,0,0,0,5, 16, 17, 22, 19, 1, 2, 3, 6, 7, 9, D, D,1,1,1,0,0,1,1,0,1,0,0,0, 9, 6,  D,  D,  D,  D,  D,  D,  0,2,6,D,D,D,D,0,1,0,0,0,1,0,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,6,D,D,D,D,D,1,0,0,0,0,1,0,5,D,D,D,D,D,0,0,0,0,1,0,0,5,D,D,D,D,0,0,0,0,1,0,0,Masked, 4,40,4, , D,0,0, ,D,0,0,0,0,0,1,0,0,0,1, 40,4,1,0,0,0, 35, 8, 36, 9,5,10, D, D, D, D,Not satisfied any longer  RC10,0,0,0,0,0,0,1,0,0,1,1,1,2,3,2,2,3, 3, 4, 7, 8, 9, D, D, D, D, D, ,0,0,1,1,0,0,1,1,1,0, 8,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,2,D,D,D,D,D,D,D,D,D, ,2,5,D,D,0,0,0,0,1, 30, 6, 30, 6,D,D,D,D,D,D,D,D, ,0,0,0,0,0,0,0,0,0,D, ,5,5,6,D,D,D,D,D,0,0,0,0,1,1,0,0,0,2,4,4,5,D,D,0,0,0,1,1,6,D,D,D,D,D,0,0,0,0,0,1,       D,3,4,2,2,2,4,3,4,3,4,2,1,2, ,D,2,4,4,1,1,4,1,D, ,2,       D,D,       D,       D,       D,       D,       D,       D,       D,       0,      20,  102000,       0,       0,   40000,4,   25000,   90000,   15000
61,1, ,2,D,1,1,5,Masked,6,D,0,0,0,0,0,1,0,4,D,D,D,0,0,0,1,0,0,0,0,4,  3, 13, 18, 18, 2, 3, 4, 5, 6, 7, D, D,0,1,1,1,1,1,1,0,0,0,0,0, 6, 5,  D,  D,  D,  D,  D,  D,  0,1,2,3,4,D,D,1,1,1,1,0,0,0,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,4,D,D,D,D,D,1,0,0,1,0,0,0,2,4,D,D,D,D,0,1,0,1,0,0,0,5,D,D,D,D,0,0,0,0,1,0,0,Masked, 4,40,4, , D,0,0, ,D,0,0,0,0,0,1,0,0,0,1, 40,4,1,0,0,0, 38, 9, 28, 5,2, 2, 4, 7, D, D,Tired of Training,0,1,0,1,0,0,1,0,0,0,1,1,1,3,1,2,2, 1, 2, 3, 4, 5, 6, 7, 8, 9, D, ,1,1,1,1,1,1,1,1,1,0, 4,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,1,D,D,D,D,D,D,D,D,D, ,2,1,5,D,1,0,0,0,1,  D, D,  D, D,2,3,4,6,7,D,D,D, ,0,1,1,1,0,1,1,0,0,6, ,5,6,D,D,D,D,D,D,0,0,0,0,0,1,0,0,0,1,4,1,D,D,D,1,0,0,0,0,2,5,D,D,D,D,0,1,0,0,1,0,  100000,1,2,2,1,1,3,3,2,1,4,1,1,1,Masked,1,3,3,2,1,4,1,1,D, ,1,       D,D,       D,       D,       D,       D,       D,       D,       D,       0,       0,   67000,       0,       0,   18000,2,   20000,   22500,     500
62,1,Q9c. Invalid due to multiple response.,2,D,1,1,10,Masked,6,D,0,0,0,0,0,1,0,3,4,7,8,0,0,1,1,0,0,1,1,5,  7, 13, 16, 13, 1, 2, 5, 6, 7, 9, D, D,1,1,0,0,1,1,1,0,1,0,0,0, 7, D,  D,  D,  D,  D,  D,  D,  0,2,3,7,D,D,D,0,1,1,0,0,0,1,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,3,D,D,D,D,D,D,0,0,1,0,0,0,0,3,D,D,D,D,D,0,0,1,0,0,0,0,4,D,D,D,D,0,0,0,1,0,0,0,Masked, 1,0,0,Masked, 1,8,1, ,D,0,0,2,0,0,0,0,0,0,2,  8,1,0,1,0,0, 60,18, 44,11,5, 7, D, D, D, D,Trouble remembering sequences,0,0,0,0,0,0,1,0,0,0,6,6,6,6,6,6,6, 2, 3, 6, 7, 8, 9, D, D, D, D, ,0,1,1,0,0,1,1,1,1,0, D,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,0,0,0,0,0,  D, D,  D, D,1,D,D,D,D,D,D,D, ,1,0,0,0,0,0,0,0,0,1, ,D,1,7,8,D,D,D,D,1,0,0,0,0,0,1,1,0,D,D,D,D,D,D,0,0,0,0,0,D,D,D,D,D,D,0,0,0,0,0,0,       D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,D,4,4,1,1,1,1,D, ,1,       D,D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,D,       D,       D,       D
63,1, ,2,D,1,2,7,Masked,6,D,0,0,0,0,0,1,0,4,D,D,D,0,0,0,1,0,0,0,0,D, 23, 23, 23, 24, 2, 3, 5, D, D, D, D, D,0,1,1,0,1,0,0,0,0,0,0,0, D, 5,  D,  D,  D,  D,  D,  D,  0,2,6,7,D,D,D,0,1,0,0,0,1,1,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,2,6,D,D,D,D,D,0,1,0,0,0,1,0,5,D,D,D,D,D,0,0,0,0,1,0,0,5,7,D,D,D,0,0,0,0,1,0,1,Masked, 6,30,3, , D,0,0, ,D,0,0,0,0,0,0,0,1,0,1, 30,3,1,0,0,0, 40,10, 35, 8,5, 5, D, D, D, D,reached goals/new career  RC5,0,0,0,0,0,0,1,0,0,0,3,3,2,4,2,3,2, 1, 3, 4, 5, 6, 8, 9, D, D, D, ,1,0,1,1,1,1,0,1,1,0, 1,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,2,D,D,D,D,D,D,D,D,D, ,1,1,D,D,1,0,0,0,0, 30, 6, 33, 7,D,D,D,D,D,D,D,D, ,0,0,0,0,0,0,0,0,0,D, ,8,3,8,D,D,D,D,D,0,0,1,0,0,0,0,1,0,2,5,1,5,D,D,1,0,0,0,1,4,5,6,D,D,D,0,0,0,1,1,1,    6000,2,2,2,1,1,4,4,4,4,2,2,1,1, ,D,1,3,3,3,1,1,1,D, ,1,       D,D,       D,       D,       D,       D,       D,       D,       D,       0,       0,   20000,    8000,       0,    1000,4,   25000,    3000,       0
64,2, ,2,D,1,2,5,Masked,6,D,0,0,0,0,0,1,0,1,D,D,D,1,0,0,0,0,0,0,0,4, 14, 19, 20, 19, 2, 7, D, D, D, D, D, D,0,1,0,0,0,0,1,0,0,0,0,0, 3, 3,  D,  D,  D,  D,  D,  D,  0,1,D,D,D,D,D,1,0,0,0,0,0,0,  D,  D,  D,  D,D,D,D,D,  D, D, D, D, D, D, D, ,D,D,D,D,D,D,D,D,D,D,1,D,D,D,D,D,D,1,0,0,0,0,0,0,4,6,7,D,D,D,0,0,0,1,0,1,1,4,6,D,D,D,0,0,0,1,0,1,0,Masked, 1,6,1,Masked, 3,2,1,Masked,1,10,1,2,0,1,0,0,0,0,3, 18,2,1,0,0,0, 32, 7, 37, 9,6, 7, D, D, D, D,dod everything I wanted go,0,0,0,0,0,0,1,0,0,0,2,2,2,5,3,2,3, 7, 8, 9, D, D, D, D, D, D, D, ,0,0,0,0,0,0,1,1,1,0, 8,D,D,D,D,D,D,D,D,  D, D,  D, D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D, ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D, ,D,1,D,D,D,D,D,D,D,D,D, ,2,5,D,D,0,0,0,0,1, 32, 7, 34, 7,D,D,D,D,D,D,D,D, ,0,0,0,0,0,0,0,0,0,3, ,3,3,4,7,D,D,D,D,0,0,1,1,0,0,1,0,0,3,1,1,D,D,D,1,0,0,0,0,2,5,D,D,D,D,0,1,0,0,1,0,   17000,2,1,1,1,1,1,D,D,D,D,1,2,D,Masked,1,2,1,3,1,D,1,1,D, ,1,       D,D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,       D,D,       D,       D,       D
